"Meslek","Şehir","Nitelikler"
"Bilgisayar Mühendisi","Ankara","1. Üniversitelerin (Örgün Öğretim) Mühendislik Fakültelerinden mezun olmak (Tercihen Bilgisayar veya Yazılım Mühendisliği),  2. Güncel Kamu Personeli Seçme Sınavında veya Akademik Personel ve Lisansüstü Eğitim Sınavında mezuniyet alanı puan türünden en az 70 puan almak,  3. Alanında en az 2 yıl tecrübeli olmak,  4. C#, VB, .net, Framework konularına hakim olmak,  5. MS SQL konularında bilgi sahibi olmak,  6.  Windows Server konusuna hakim olmak,  7. Windows Application ve Web uygulamaları konusunda bilgi sahibi olmak,  8. Erkek adaylar için askerlik görevini tamamlamış olmak tercih nedenidir, "
"Bilgisayar Mühendisi"," "," "
"Bilgisayar Öğretmeni","Kocaeli"," "
"Bilgisayar Mühendisi","İstanbul","Öncelikle IOT alanında Ar-Ge çalışmalarında görevlendirilmek üzere “Bilgisayar Mühendisi” çalışma arkadaşı aramaktayız.     GENEL NİTELİKLER  ·         Üniversitelerin tercihen Bilgisayar Mühendisliği olmak üzere ilgili lisans / lisansüstü Mühendislik bölümlerinden mezun,  ·         Nesne tabanlı uygulama geliştirme konusunda deneyimli,  ·         Veri tabanı uygulamaları ve SQL konularına hakim,  ·         Internet ve web uygulamaları konusunda bilgili,  "
"Bilgisayar Mühendisi","İstanbul"," "
"Bilgisayar Mühendisi (Sunucu)","Ankara"," *RESTFUL API KONUSUNDA TECRÜBELİ  *NODE.JS ve WEBSERVİSLERİ KONULARINDA TECRUBELİ  *VERSİYON KONTROL SİSTEMLERİ KONUSUNDA TECRÜBELİ (SVN, GİT)  *TEMİZ VE YENİDEN KULLANILABİLİR KOD YAZABİLEN  *İYİ DERECEDE İNGİLİZCE BİLGİSİ OLAN BİLGİSAYAR MÜHENDİSİ ALIMI YAPILACAKTIR.  (GÖRÜŞMELER YÜZYÜZE YAPILACAKTIR)     "
"Yeni Mezun Bilgisayar Mühendisi","İstanbul"," •             Büyük veriler ile çalışabilecek,  •             Dikkatli ve özenli çalışan, takım çalışmasına yatkın,  •             Dinamik, öğrenmeye ve gelişime açık,  •             İş takibi ve iş planlaması konusunda başarılı,  •             İyi derecede İngilizce bilen,  •             İstanbul’da ikamet eden/edebilecek.   İŞ TANIMI "
"Bilgisayar Mühendisi (Android Geliştirici)","Ankara"," *TCP/IP NETWORK MİMARİSİ KONUSUNDA BİLGİLİ  *RESTFUL API KONUSUNDA TECRÜBELİ  *ANDROİD STUDİO NATİVE IDE KULLANIMI KONUSUNDA TECRÜBELİ  *VERSİYON KONTROL SİSTEMLERİ KONUSUNDA TECRÜBELİ (SVN, GİT)  *TEMİZ VE YENİDEN KULLANILABİLİR KOD YAZABİLEN  *İYİ DERECEDE İNGİLİZCE BİLGİSİ OLAN BİLGİSAYAR MÜHENDİSİ ALIMI YAPILACAKTIR.   (GÖRÜŞMELER YÜZYÜZE YAPILACAKTIR) "
"Bilgisayar Mühendisi - Yeni Mezun","Ankara"," Mezuniyet ortalaması en az 3.0 ve üzeri olan,  Temel yazılım bilgisine sahip olan ve okul veya staj dönemlerinde Java programlama dili ile WEB tabanlı proje geliştirmiş  jQuery, HTML5 ve CCS3 konularında bilgi sahibi olan,  Tasarımı ve kaliteli yazılım geliştirmeyi ilke edinmiş,  Analitik düşünebilen, çözüm odaklı, öğrenmeye ve yeniliklere açık,  İyi derecede İngilizce bilgisine sahip,  Takım çalışmasına yatkın, Erkek adaylar için askerliğini tamamlamış, "
"Bilgisayar / Yazılım Mühendisi","İstanbul"," "
"Bilgisayar Mühendisi - Hollanda'da Kariyer","Hollanda, Ankara"," "
"Makina Mühendisliği Alanında Araştırma Asistanı","İstanbul","1) Üniversitelerin Makina Mühendisliği veya ilgili mühendislik bölümlerinden yüksek ortalama ile mezun  2) İyi derecede İngilizce bilen  3) Bilimsel araştırmalar yapmak için istekli  4) Akademik yazım ve sunum kabiliyetleri yüksek      Ön değerlendirme için aşağıdaki evrakların sunulması beklenmektedir. Ön değerlendirmeden geçen adaylardan ek belgeler talep edilecektir.        1)Özgeçmiş "
"Yazılım Uzmanı","İstanbul","Entity Framework - Code First , LINQ ve MS SQL konularında deneyimli, Kodlama standartlarına uyumlu yazılım geliştiren, Düzenli olarak ilgili kaynakları takip eden, En az 2 kurumsal ölçekli projede görev almış, en az 3 yıllık yazılım deneyimi sahibi, Erkek adaylar için askerliğini tamamlamış, Analitik ve Algoritmik düşünce yeteneğine sahip.    İŞ TANIMI Şirketimizin CRM, ERP ve Mobil Uygulamalarında kendisine verilen modülleri geliştirmek, İş sorumluluğuna sahip, çalışma saatlerine uyumlu ve saygılı olmak, Yoğun çalışma temposuna ayak uydurabilmek, İnsan ilişkilerinde başarılı olmak, Uygulama Geliştirme standartlarına uygun olacak şekilde analiz, teknik tasarım, kodlama çalışmalarını gerçekleştirmek, "
"Kurumsal Satış Mühendisi","İstanbul","İki yıl veya daha az iş tecrübesi bulunan,  İyi seviyede İngilizce bilen, Bilişim sektöründe kurumsal satış kariyer hedefi olan, Erkek adaylar için askerlik yükümlülüğünü tamamlamış, Aktif olarak araç kullanabilen,   İŞ TANIMI  Teknotel Telekomünikasyon A.Ş. bünyesinde görev almak üzere Kurumsal Satış Mühendisleri aranmaktadır.   Planlı firma ziyaretlerinin gerçekleştirmesi, bu ziyaretler sonucunda projeler üretilmesi ve satışa dönüştürülmesi, Şirket hedefleri doğrultusunda satış sürecinin yönetilmesi, Yeni müşterilerin kazanılmasına odaklanarak portföy oluşturulması ve yönetimini gerçekleştirilmesi, Tüm satış faaliyetlerini CRM üzerinden güncellenmesi ve raporlanması,  "
"Makine Mühendisi - Hollanda'da Kariyer","Hollanda, Ankara"," "
"Elektrik Elektronik Mühendisi -Hollanda'da Kariyer","Hollanda, Ankara"," "
"DevOps Mühendisi","Ankara, İstanbul"," "
"Otomasyon Uzmanı"," ","  GÖREVLER  VE SORUMLULUKLAR  Öne çıkan istekler doğrultusunda otomasyon projelerinin tasarlanması Projeler için gerekli ekipmanın belirlenmesi, seçilmesi ve talep edilmesi Tasarlanan projelerin simülasyon ve denemelerinin yapılması Otomasyon sistemlerinin elektriksel ve mekanik montaj işlemlerinin uygunluğunun takip edilmesi Sistemlerde kullanılan robot, PLC vb. elektronik elemanların programlanması Kamera sistemlerinin otomasyon projelerine adapte edilmesi ve devreye alınması Projelerin devreye alınması, sürekli üretime uygun hale getirilmesi Sürekli üretim sırasında gözlemlenen eksikliklerin süratle ortadan kaldırılması Sürekli üretimdeki sistemlerin incelenmesi, gerekli görülen değişikliklerin ve iyileştirmelerin yapılması Otomasyon projelerinin gerçeklenmesi sırasında destek alınacak entegratör firmaların irdelenmesi, en yetkin firmaların seçilmesi Entegratör firmalar ile koordinasyonun ve firma yükümlülüklerinin yerine getirilmesinin sağlanması "
"Yazılım Geliştirme Uzmanı","İstanbul","Web servis entegrasyonları konusunda bilgi sahibi (RESTful ve SOAP konularında deneyimli), HTML, Javascript, CSS, JQuery konularına hakim, .NET teknolojileriyle (Winform, MVC, .NET Core) aktif yazılım geliştirmesi tecrübesi olan, en azından temel seviye projeler geliştiren, SQL ile uygulamaları iyi harmanlayabilen, SQL veritabanı optimizasyonu konusunda deneyimli, Uygulamaların hızlı çalışma ve optimizasyonu konusunda meraklı, Yaptığı çalışmalarda güvenliğe önem veren, Tercihen ERP veya mağazacılık uygulaması geliştirmiş, Tercihen DevExpress bileşenlerine hakim, Tercihen MS TFS (Team foundation server) tecrübesi olan, Tercihen İngilizce bilen ve kaynak araştırması yapabilen, Analitik düşünme ve problem çözme yeteneğine sahip, planlama ve organizasyon becerileri gelişmiş, Değişime ve öğrenmeye açık, Takım çalışmasında başarılı, sorumluluk sahibi ve yoğun iş temposuna uyum sağlayan, gerektiğinde üstün özveriyle çalışabilen, Planlı çalışma yapabilen takım arkadaşları arıyoruz, "
"Web ve Masaüstü Programcı","Bursa"," - Php, Javascript ve Ajax kullanararak web uygulaması ve web servis geliştirebilecek,  - Mysql ve Ado (Access) veritabanı teknolojilerini kullanabilen, veritabanı bağlantılarına ve SQL sorgularına hakim, algoritma yeteneği iyi,  - Tercihen Elektronik Mühendisliği , Bilgisayar Mühendisliği veya Yazılım Mühendisliği mezunu,  - Tercihen mobil yazılım geliştirebilen,  - Ekip çalışması yapabilecek, gerektiğinde ekip yönetebilecek,  - Kurumsal bir firmada uzun yıllar çalışmayı hedefleyen,  - Yeniliklere ve öğrenmeye açık,  "
"Kıdemli Bilgi İşlem Sorumlusu / IT Uzmanı","İstanbul"," Bilgi İşlem, Bilgi Teknolojileri ve IT Departmanlarında benzer pozisyonlarda en az 5 yıl tecrübeli,  Yazılım geliştirme konusunda ERP projelerinde en az 5 yıl aktif iş tecrübesi bulunan,  Microsoft tabanlı işletim sistemleri bilgisine sahip,   Sistemler ve bilgisayar donanımı hakkında bilgili ve tecrübeli,  Yazılım geliştirme konusunda tecrübeli  Temel network bilgisine sahip,  Şirket içerisinde kullanılan firewall ve internet yapılarını yönetebilecek, "
"Test Otomasyon Uzmanı","İstanbul"," Gelişen ve büyüyen yapımızda görevlendirilmek üzere “Test Otomasyon Uzmanı” aramaktayız.  Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Programcılığı, Enformatik veya Yönetim Bilişim Sistemleri bölümlerinden mezun, Test otomasyon araçları (Selenium IDE/Web driver, Appium, Robot Framework, Apache JMeter, SOAP UI, vs.) konusunda deneyim sahibi olan, Tercihen ISTQB veya CSTE “Yazılım Test Uzmanı” sertifikalarından birine sahip olan, Yazılım metodolojileri (Agile, scrum vb) ve yazılım süreçleri konusunda bilgi sahibi olan, Yazılım test metodolojilerine hakim ve test yönetim araçlarını kullanabilen, İyi derecede İngilizce bilen,  Analitik düşünme ve problem çözme yeteneğine sahip olan, İnsan ilişkileri kuvvetli, takım çalışmasına yatkın, yazılı ve sözlü iletişim becerileri yüksek olan, İç motivasyonu güçlü, sorumluluk alma konusunda istekli ve proaktif, Erkek adaylar için askerlik görevini tamamlamış.  İŞ TANIMI "
"ERP Uzmanı"," ","*İyi derecede IFS program bilgisine sahip,  *ERP kurulum, yapılandırma, devreye alma süreçlerinde rol almış,  *SQL sorgulama diline hakim,  *Problem çözme yetkinliği gelişmiş, analitik düşünebilen,  *Planlama, organizasyon, raporlama, sözlü ve yazılı iletişim becerileri güçlü,  *Ekip çalışmasına yatkın, araştırmayı seven, gelişmeye öğrenmeye açık, yeni fikirlere kolay adapte olabilen,  *Sorumluluk bilinci yüksek, çözüm odaklı,  *Literatürü İngilizce takip edebilecek, "
"Yazılım Destek Uzmanı","İstanbul"," -         Sanal santral, çağrı merkezi, müşteri ilişkileri yönetimi (crm) yazılımları konusunda bilgili,  -         Telefon ve yazılı mesaj iletişiminde, insan ilişkilerinde başarılı,  -         Tercihen Üniversitelerin Bilgisayar mühendisliği ya da Mekatronik bölümlerinden mezun,  -         Müşteri istek ve ihtiyaçlarını doğru kavrayarak, doğru zamanda doğru kaynak kullanımı ile çözüm üretebilecek,  -         İş takibi güçlü,  -         Ekip çalışmasına uyumlu,  -          İnisiyatif alıp diğer yetkililerin müdahalesine gerek kalmadan sorunları çözebilecek,  "
"Data Analytics ve GRC Uzmanı","İstanbul","    Data Analytics ve GRC Uzmanı (en az 2 yıl tecrübeli)  Genel Nitelikler:  Üniversitelerin 4 yıllık bölümlerinden mezun (Tercihen Bilgisayar Mühendisliği, Elektrik-Elektronik Mühendisliği, Matematik Mühendisliği, Endüstri Mühendisliği ya da Yönetim Bilişim Sistemleri), En az 2 yıl İç Denetim tecrübesine sahip (Tercihen banka veya holding bünyesinde İç Kontrol / Risk Yönetimi / Uyum departmanlarında görev almış), Denetim Planlaması hazırlama sürecinde bulunmuş, Spot ve Süreç denetim tecrübesi bulunan, İstatistik ve veri tabanı sorgulama dilleri (SQL) bilgisi tercih sebebi olacaktır. İleri seviye ingilizce bilgisine sahip (distribütorü olunan yurtdışı menşeili firma ile haftalık tele/video konferanslar yapılacaktır.) Araştırmacı, problem çözme ve analitik düşünme yeteneğine sahip, Takım çalışmasına yatkın ve sorumluluk sahibi, "
"iOS Yazılım Uzmanı","İstanbul"," ürettiği özel tasarım araçlarını Almanya, İngiltere, Fransa ve İtalya başta olmak üzere dünyanın birçok ülkesine ihraç etmektedir.  Bu genç, dinamik ekibin ve kalitemizin parçası olacak  Lüx Araç İç Dizaynı konusunda faaliyet gösteren  İstanbul Avcılar  'da bulunan genel müdürlüğümüzde çalışacak “  İOS YAZILIM UZMANI  ” aramaktayız.  "
"Ar-Ge Mühendisi","İstanbul","Türkiye’de mini PC pazarında adetsel ve proje bazlı en çok tercih edilen bilgisayar markası olan Technopc sağlıktan bankacılığa, eğitimden savunma sanayi sektörüne kadar geniş bir yelpazede hizmet vermekte, yeni kurulan veya teknolojisini iyileştirmek isteyen kurumlara çözümler sunmanın yanı sıra ihtiyaçların belirlenmesi ve ürün konumlandırması gibi konularda da hizmet sağlamaktadır.     20 yıldır Türkiye’nin büyüyen markası Technopc’de  “AR-GE MÜHENDİSİ"" pozisyonunda görev alacak ekip arkadaşı arıyoruz.     İş Tanımı:  Üniversitelerin Elektrik Elektronik veya Bilgisayar Mühendisliği bölümlerinden mezun, Bilişim sektöründe AR-GE süreçleri için sistem ve ürün iyileştirme, geliştirme deneyimi olan, Yeni projeler için elektronik donanım ve tasarım faaliyetlerini gerçekleştirecek, Oluşturulan prototiplerin testlerinin yapılması, raporların ve dökümanların hazırlanmasından sorumlu olacak,  "
"İş Zekası Danışmanı","İstanbul","Veri ambarı tasarımı ve metodolojileri konularında deneyimli, HANA Native Geliştirme ve SAP ETL, Modelleme süreçlerinde tecrübeli, Tercihen BW4HANA Modelleme sürecinde bilgi sahibi, SAP Data Services ürününde tecrübeli, Tercihen Oracle/T-SQL veritabanında bilgi sahibi, MSSQL veritabanında deneyimli, İyi derecede İngilizce bilen, Esnek çalışma saatlerine uyumlu, Yurt içi/Yurt dışı seyahat engeli bulunmayan, Karşısına çıkan yeni problemlere analitik çözümler üretebilen, Takım çalışmasına yatkın, Yeni teknolojileri öğrenme ve kendini geliştirme konusunda istekli.     İŞ TANIMI "
"Bilişim Vadisi Yazılım Uzmanı","Kocaeli"," "
